t,x,y,z,x avg,y avg,z avg,x max,x min,y max,y min,z max,z min
107,-3.4319,0.9233,-0.5841,-0.7408,0.5467,-0.1270,1.7035,-3.4319,1.9865,-1.8428,0.7372,-2.3132
108,-3.1940,1.1069,-0.6273,-0.7402,0.5438,-0.1405,1.7035,-3.4319,1.9865,-1.8428,0.7372,-2.3132
109,-3.0811,1.3235,-0.7853,-0.7489,0.5586,-0.1498,1.7035,-3.4319,1.9865,-1.8428,0.7372,-2.3132
110,-2.7439,1.6058,-0.1639,-0.7721,0.5601,-0.1488,1.7035,-3.4319,1.9865,-1.8428,0.7372,-2.3132
111,-1.7237,2.4273,0.3523,-0.7656,0.5850,-0.1379,1.7035,-3.4319,2.4273,-1.8428,0.7372,-2.3132
112,-1.4496,1.1179,0.1713,-0.7614,0.5416,-0.1408,1.7035,-3.4319,2.4273,-1.8428,0.7372,-2.3132
113,-1.3772,0.8794,0.1605,-0.7758,0.5185,-0.1496,1.7035,-3.4319,2.4273,-1.8428,0.7372,-2.3132
114,-1.1764,0.8384,0.1312,-0.8064,0.5092,-0.1697,1.7035,-3.4319,2.4273,-1.8428,0.7372,-2.3132
115,-0.5543,0.8982,0.1588,-0.8426,0.4940,-0.1959,1.7035,-3.4319,2.4273,-1.8428,0.7372,-2.3132
116,-0.1110,0.8312,0.2867,-0.9030,0.4985,-0.2185,1.7035,-3.4319,2.4273,-1.8428,0.5936,-2.3132
117,0.8435,-0.3584,0.1993,-0.9422,0.5167,-0.2334,1.7035,-3.4319,2.4273,-1.8428,0.5936,-2.3132
118,-0.1136,0.3352,-0.4790,-1.0331,0.5805,-0.2757,1.7000,-3.4319,2.4273,-1.8428,0.5936,-2.3132
119,-1.8417,0.5178,-1.5031,-1.2102,0.6560,-0.3689,0.9978,-3.4319,2.4273,-1.8428,0.5936,-2.3132
120,-1.1834,-1.5389,-2.1418,-1.3192,0.6197,-0.4814,0.8721,-3.4319,2.4273,-1.8428,0.5936,-2.3132
121,0.2478,0.4613,0.4029,-1.1959,0.5600,-0.3883,0.8721,-3.4319,2.4273,-1.8428,0.5936,-2.3132
122,-1.1737,1.1929,0.4260,-1.1885,0.6925,-0.2513,0.8721,-3.4319,2.4273,-1.8428,0.5936,-2.1418
