x,y,z,x avg,y avg,z avg,x max,x min,y max,y min,z max,z min
-2.2106,1.8361,0.5399,-0.0221,0.0184,0.0184,0.5399,0.0000,1.8361,0.0000,1.8361,0.0000
-1.9124,0.3176,0.2415,-0.0191,0.0032,0.0032,0.2415,-1.9124,0.3176,0.0000,0.3176,0.0000
-1.0828,0.0887,-0.2091,-0.0108,0.0009,0.0009,0.0000,0.0000,0.0887,0.0000,0.0887,-0.2091
-0.6781,0.1489,-0.2797,-0.0068,0.0015,0.0015,0.0000,-0.6781,0.1489,0.0000,0.1489,-0.2797
-0.3518,0.0026,-0.2763,-0.0035,0.0000,0.0000,0.0000,0.0000,0.0026,0.0000,0.0026,0.0000
0.2972,-0.3261,-0.1634,0.0030,-0.0033,-0.0033,0.2972,0.0000,0.2972,-0.3261,0.2972,-0.1634
1.1494,-0.6153,0.0955,0.0115,-0.0062,-0.0062,1.1494,0.0000,1.1494,-0.6153,1.1494,0.0000
0.1121,-1.4596,-0.5877,0.0011,-0.0146,-0.0146,0.1121,0.0000,0.1121,-1.4596,0.1121,-0.5877
-0.6644,-1.5686,-0.6815,-0.0066,-0.0157,-0.0157,0.0000,-0.6644,0.0000,-1.5686,0.0000,-0.6815
-2.0471,0.2464,0.6195,-0.0205,0.0025,0.0025,0.6195,-2.0471,0.6195,0.0000,0.6195,0.0000
-3.5526,0.5316,-0.0213,-0.0355,0.0053,0.0053,0.0000,-3.5526,0.5316,0.0000,0.5316,-0.0213
-4.0002,0.8439,-0.2326,-0.0400,0.0084,0.0084,0.0000,-4.0002,0.8439,0.0000,0.8439,-0.2326
-4.0002,0.9280,-0.3324,-0.0400,0.0093,0.0093,0.0000,0.0000,0.9280,0.0000,0.9280,-0.3324
-3.4016,3.2525,0.3402,-0.0340,0.0325,0.0325,0.3402,-3.4016,3.2525,0.0000,3.2525,0.0000
-2.6864,2.0810,0.5639,-0.0269,0.0208,0.0208,0.5639,0.0000,2.0810,0.0000,2.0810,0.0000
-2.5847,1.2883,0.6346,-0.0258,0.0129,0.0129,0.6346,-2.5847,1.2883,0.0000,1.2883,0.0000
-2.4068,0.3427,0.5676,-0.0241,0.0034,0.0034,0.5676,0.0000,0.5676,0.0000,0.5676,0.0000
-2.3586,0.2468,0.5246,-0.0236,0.0025,0.0025,0.5246,-2.3586,0.5246,0.0000,0.5246,0.0000
-2.0268,-0.1052,0.2248,-0.0203,-0.0011,-0.0011,0.2248,0.0000,0.2248,-0.1052,0.2248,0.0000
-1.0994,-0.0640,-0.1050,-0.0110,-0.0006,-0.0006,0.0000,-1.0994,0.0000,0.0000,0.0000,-0.1050
0.1927,0.8038,0.0653,0.0019,0.0080,0.0080,0.1927,0.0000,0.8038,0.0000,0.8038,0.0000
0.7711,0.5100,0.4369,0.0077,0.0051,0.0051,0.7711,0.0000,0.7711,0.0000,0.7711,0.0000
-1.5137,-1.5490,-1.0240,-0.0151,-0.0155,-0.0155,0.0000,-1.5137,0.0000,-1.5490,0.0000,-1.0240
-0.9850,-3.0789,-1.5490,-0.0098,-0.0308,-0.0308,0.0000,0.0000,0.0000,-3.0789,0.0000,-1.5490
-1.0326,-1.6652,-0.3225,-0.0103,-0.0167,-0.0167,0.0000,-1.0326,0.0000,0.0000,0.0000,0.0000
-2.9053,-0.6377,-0.0065,-0.0291,-0.0064,-0.0064,0.0000,-2.9053,0.0000,-0.6377,0.0000,-0.0065
-2.9445,1.0844,0.4314,-0.0294,0.0108,0.0108,0.4314,-2.9445,1.0844,0.0000,1.0844,0.0000
-3.3670,2.2618,1.0767,-0.0337,0.0226,0.0226,1.0767,-3.3670,2.2618,0.0000,2.2618,0.0000
-3.5166,3.2862,1.1049,-0.0352,0.0329,0.0329,1.1049,-3.5166,3.2862,0.0000,3.2862,0.0000
-3.0487,3.9973,0.6788,-0.0305,0.0400,0.0400,0.6788,0.0000,3.9973,0.0000,3.9973,0.0000
-2.3336,2.8262,0.3416,-0.0233,0.0283,0.0283,0.3416,-2.3336,2.8262,0.0000,2.8262,0.0000
-1.3843,0.8827,0.0434,-0.0138,0.0088,0.0088,0.0434,0.0000,0.8827,0.0000,0.8827,0.0000
-0.9669,0.4532,-0.0507,-0.0097,0.0045,0.0045,0.0000,-0.9669,0.4532,0.0000,0.4532,-0.0507
-0.4599,-0.1811,-0.4323,-0.0046,-0.0018,-0.0018,0.0000,0.0000,0.0000,-0.1811,0.0000,-0.4323
0.1750,-1.7255,-1.1513,0.0017,-0.0173,-0.0173,0.1750,0.0000,0.1750,-1.7255,0.1750,-1.1513
0.0051,-0.5844,-0.6969,0.0001,-0.0058,-0.0058,0.0051,0.0000,0.0051,0.0000,0.0051,0.0000
-0.3233,0.0811,-0.5322,-0.0032,0.0008,0.0008,0.0000,-0.3233,0.0811,0.0000,0.0811,-0.5322
-0.3956,0.2867,-0.5050,-0.0040,0.0029,0.0029,0.0000,-0.3956,0.2867,0.0000,0.2867,0.0000
-0.6173,1.1744,-0.2393,-0.0062,0.0117,0.0117,0.0000,-0.6173,1.1744,0.0000,1.1744,-0.2393
-0.5744,1.4208,-0.1091,-0.0057,0.0142,0.0142,0.0000,0.0000,1.4208,0.0000,1.4208,0.0000
-0.6164,1.5374,0.0710,-0.0062,0.0154,0.0154,0.0710,-0.6164,1.5374,0.0000,1.5374,0.0000
-0.6236,1.4309,-0.0428,-0.0062,0.0143,0.0143,0.0000,-0.6236,1.4309,0.0000,1.4309,-0.0428
-0.6062,1.4019,-0.0928,-0.0061,0.0140,0.0140,0.0000,0.0000,1.4019,0.0000,1.4019,-0.0928
-0.4802,1.2393,-0.2288,-0.0048,0.0124,0.0124,0.0000,-0.4802,1.2393,0.0000,1.2393,-0.2288
-0.2229,0.9862,-0.2548,-0.0022,0.0099,0.0099,0.0000,0.0000,0.9862,0.0000,0.9862,-0.2548
-0.0941,0.8335,-0.2994,-0.0009,0.0083,0.0083,0.0000,-0.0941,0.8335,0.0000,0.8335,-0.2994
-0.0196,0.7794,-0.3042,-0.0002,0.0078,0.0078,0.0000,0.0000,0.7794,0.0000,0.7794,-0.3042
-0.0070,0.8695,-0.2883,-0.0001,0.0087,0.0087,0.0000,-0.0070,0.8695,0.0000,0.8695,0.0000
-0.0356,0.8683,-0.2757,-0.0004,0.0087,0.0087,0.0000,-0.0356,0.8683,0.0000,0.8683,-0.2757
-0.0268,0.8059,-0.3502,-0.0003,0.0081,0.0081,0.0000,0.0000,0.8059,0.0000,0.8059,-0.3502
